Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
A,0.3,8.6,0.3
AA,14.3,5.9,14.3
AAC,,,
AACG,,,
AACI,,,
AADI,,,
AAIC,,,
AAIC^B,,,
AAIN,,,
AAL,11.5,12.3,11.5
AAM^A,,,
AAM^B,,,
AAMC,,,
AAME,,,
AAN,,,
AAOI,,,
AAON,,,
AAP,0.1,8.3,0.1
AAPL,0.6,6.9,0.6
AAT,,,
AAU,,,
AB,,,
ABB,,,
ABBV,1.1,16.8,1.1
ABC,1.3,5.6,1.3
ABCB,,,
ABCL,,,
ABCM,,,
ABEO,,,
ABEV,,,
ABG,,,
ABIO,,,
ABM,,,
ABNB,,,
ABOS,,,
ABR,,,
ABR^D,,,
ABR^E,,,
ABR^F,,,
ABSI,,,
ABST,,,
ABT,3.0,13.6,3.0
ABUS,,,
ABVC,,,
AC,,,
ACA,,,
ACAB,,,
ACAC,,,
ACACW,,,
ACAD,,,
ACAH,,,
ACAQ,,,
ACAX,,,
ACAXU,,,
ACB,,,
ACBA,,,
ACBAU,,,
ACBAW,,,
ACCD,,,
ACCO,,,
ACDC,,,
ACDCW,,,
ACEL,,,
ACER,,,
ACET,,,
ACGL,1.5,7.3,1.5
ACGLN,,,
ACGLO,,,
ACGN,,,
ACHC,,,
ACHL,,,
ACHR,,,
ACHV,,,
ACI,,,
ACIU,,,
ACIW,,,
ACLS,,,
ACLX,,,
ACM,6.9,13.0,6.9
ACMR,,,
ACN,0.3,4.6,0.3
ACNB,,,
ACNT,,,
ACON,,,
ACONW,,,
ACOR,,,
ACP,,,
ACP^A,,,
ACR,,,
ACR^C,,,
ACR^D,,,
ACRE,,,
ACRO,,,
ACRS,,,
ACRV,,,
ACRX,,,
ACST,,,
ACT,,,
ACTG,,,
ACU,,,
ACV,,,
ACVA,,,
ACXP,,,
ADAG,,,
ADAP,,,
ADBE,1.9,5.9,1.9
ADC,,,
ADC^A,,,
ADCT,,,
ADD,,,
ADEA,,,
ADER,,,
ADERW,,,
ADES,,,
ADEX,,,
ADI,10.1,7.7,10.1
ADIL,,,
ADILW,,,
ADM,18.2,13.2,18.2
ADMA,,,
ADMP,,,
ADN,,,
ADNT,,,
ADNWW,,,
ADOCW,,,
ADP,1.1,7.0,1.1
ADPT,,,
ADSE,,,
ADSEW,,,
ADSK,3.4,8.2,3.4
ADT,,,
ADTH,,,
ADTN,,,
ADTX,,,
ADUS,,,
ADV,,,
ADVM,,,
ADVWW,,,
ADX,3.6,10.2,3.6
ADXN,,,
AE,,,
AEE,14.0,10.0,14.0
AEF,5.0,9.0,5.0
AEFC,,,
AEG,,,
AEHL,,,
AEHR,,,
AEI,,,
AEIS,,,
AEL,,,
AEL^A,,,
AEL^B,,,
AEM,9.0,9.0,9.0
AEMD,,,
AENZ,,,
AEO,,,
AEP,13.0,8.0,13.0
AEPPZ,,,
AER,6.0,8.0,6.0
AES,16.0,11.0,16.0
AESC,,,
AESI,,,
AEVA,,,
AEY,,,
AEYE,,,
AEZS,,,
AFARU,,,
AFB,,,
AFBI,,,
AFCG,,,
AFG,3.0,10.0,3.0
AFGB,,,
AFGC,,,
AFGD,,,
AFGE,,,
AFIB,,,
AFL,0.0,7.0,0.0
AFMD,,,
AFRI,,,
AFRIW,,,
AFRM,,,
AFT,,,
AFTR,,,
AFYA,,,
AG,,,
AGAC,,,
AGAE,,,
AGBA,,,
AGBAW,,,
AGCO,,,
AGD,5.0,10.0,5.0
AGE,,,
AGEN,,,
AGFY,,,
AGI,,,
AGIL,,,
AGILW,,,
AGIO,,,
AGL,,,
AGLE,,,
AGM,,,
AGM^C,,,
AGM^E,,,
AGM^F,,,
AGM^G,,,
AGMH,,,
AGNC,7.0,3.0,7.0
AGNCL,,,
AGNCM,,,
AGNCN,,,
AGNCO,,,
AGNCP,,,
AGO,,,
AGR,,,
AGRI,,,
AGRO,,,
AGRX,,,
AGS,,,
AGTI,,,
AGX,,,
AGYS,,,
AHCO,,,
AHG,,,
AHH,,,
AHH^A,,,
AHI,,,
AHL^C,,,
AHL^D,,,
AHL^E,,,
AHRN,,,
AHRNU,,,
AHRNW,,,
AHT,,,
AHT^D,,,
AHT^F,,,
AHT^G,,,
AHT^H,,,
AHT^I,,,
AI,,,
AIC,,,
AIF,,,
AIG,2.0,10.0,2.0
AIG^A,,,
AIH,,,
AIHS,,,
AIM,,,
AIMD,,,
AIMDW,,,
AIN,,,
AINC,,,
AIO,,,
AIP,,,
AIR,,,
AIRC,,,
AIRG,,,
AIRI,,,
AIRS,,,
AIRT,,,
AIRTP,,,
AIT,,,
AIU,,,
AIV,7.0,5.0,7.0
AIXI,,,
AIZ,2.0,12.0,2.0
AIZN,,,
AJG,0.0,11.0,0.0
AJRD,,,
AJX,,,
AJXA,,,
AKA,,,
AKAM,3.0,7.0,3.0
AKAN,,,
AKBA,,,
AKLI,,,
AKO/A,,,
AKO/B,,,
AKR,,,
AKRO,,,
AKTS,,,
AKTX,,,
AKU,,,
AKYA,,,
AL,,,
AL^A,,,
ALAR,,,
ALB,16.0,6.0,16.0
ALBT,,,
ALC,,,
ALCC,,,
ALCO,,,
ALCYU,,,
ALDX,,,
ALE,,,
ALEC,,,
ALEX,,,
ALG,,,
ALGM,,,
ALGN,,,
ALGS,,,
ALGT,,,
ALHC,,,
ALIM,,,
