,Компания,Чистая прибыль 2019,Чистая прибыль 2020,Чистая прибыль 2021,Капитализация 2019,Капитализация 2020,Капитализация 2021
0,A,1070000000.0000001,719000000.0,1210000000.0,25400000000.0,36000000000.0,42000000000.0
1,AA,-1120000000.0,-170000000.0,429000000.0,2650000000.0,4269999999.9999995,11000000000.0
2,AAL,1690000000.0,-8880000000.0,-1990000000.0,12300000000.0,10100000000.0,11100000000.0
3,AAP,487000000.0,,493000000.0,9900000000.0,,15600000000.0
4,AAPL,55300000000.0,57400000000.0,94700000000.0,1150000000000.0,2000000000000.0,2740000000000.0
5,ABBV,7880000000.0,4620000000.0,11500000000.0,121000000000.0,165000000000.0,232000000000.0
6,ABC,855000000.0,-3410000000.0,1540000000.0,18000000000.0,19500000000.0,27000000000.0
7,ABT,3690000000.0,4500000000.0,7070000000.0,157000000000.0,208000000000.0,213000000000.0
8,ACGL,1640000000.0,1410000000.0,2160000000.0,17900000000.0,14400000000.0,18500000000.0
9,ACM,-261000000.0,-186000000.0,173000000.0,6420000000.0,7130000000.0,10000000000.0
10,ACN,4780000000.0,1500000000.0,1790000000.0,125000000000.0,162000000000.0,260000000000.0
11,ADBE,2950000000.0,5260000000.0,4820000000.0,161000000000.0,220000000000.0,255000000000.0
12,ADI,1360000000.0,1220000000.0,1390000000.0,41500000000.0,55700000000.0,62800000000.0
13,ADM,1380000000.0,1770000000.0,2710000000.0,25500000000.0,30700000000.0,43800000000.0
14,ADP,2290000000.0,2470000000.0,2600000000.0,71800000000.0,72400000000.0,85700000000.0
15,ADSK,-80800000.0,214000000.0,1210000000.0,35000000000.0,41900000000.0,48200000000.0
16,ADX,,,,,,
17,AEE,828000000.0,871000000.0,995000000.0,20100000000.0,17900000000.0,22300000000.0
18,AEF,,,,,,
19,AEM,473000000.0,512000000.0,543000000.0,14600000000.0,16600000000.000002,11200000000.0
20,AEP,1920000000.0,2200000000.0,2490000000.0,51400000000.0,38900000000.0,43400000000.0
21,AER,1150000000.0,-299000000.0,1000000000.0,7950000000.0,5200000000.0,9220000000.0
22,AES,303000000.0,46000000.0,-632000000.0,13500000000.0,17000000000.0,13900000000.0
23,AFG,897000000.0,732000000.0,2000000000.0,9990000000.0,6900000000.0,10500000000.0
24,AFL,3300000000.0,4780000000.0,4320000000.0,39400000000.0,32200000000.000004,40400000000.0
25,AGD,,,,,,
26,AGNC,688000000.0,-266000000.0,749000000.0,9990000000.0,8330000000.0,6870000000.0
27,AIG,3350000000.0,-5940000000.0,9390000000.0,41000000000.0,31500000000.0,47700000000.0
28,AIV,60300000.0,-5040000.0,-5910000.0,1070000000.0000001,584000000.0,1150000000.0
29,AIZ,383000000.0,441000000.0,1360000000.0,7440000000.0,7900000000.0,8910000000.0
30,AJG,669000000.0,819000000.0,907000000.0,18600000000.0,22300000000.0,31800000000.0
31,AKAM,478000000.0,557000000.0,161000000.0,15400000000.0,17100000000.000002,19000000000.0
32,ALB,533000000.0,376000000.0,124000000.0,8560000000.000001,17100000000.000002,25400000000.0
33,ALKS,-197000000.0,-111000000.0,-48200000.0,2740000000.0,3170000000.0,3740000000.0
34,ALL,4850000000.0,5580000000.0,1600000000.0,39300000000.0,31900000000.0,35600000000.0
35,ALLE,402000000.0,314000000.0,483000000.0,12200000000.0,9670000000.0,10900000000.0
36,ALLY,1720000000.0,1080000000.0,3060000000.0,12800000000.0,12900000000.0,16899999999.999998
37,ALV,462000000.0,187000000.0,435000000.0,6810000000.0,7750000000.0,8840000000.0
38,AMAT,2710000000.0,3620000000.0,5890000000.0,54400000000.0,106000000000.0,121000000000.0
39,AME,861000000.0,872000000.0,990000000.0,22600000000.0,27400000000.0,33799999999.999996
40,AMG,15700000.0,202000000.0,566000000.0,4059999999.9999995,5120000000.0,6070000000.0
41,AMGN,7840000000.0,7260000000.0,5890000000.0,137000000000.0,126000000000.0,127000000000.0
42,AMP,1890000000.0,1530000000.0,2760000000.0,22900000000.0,26700000000.0,34900000000.0
43,AMT,1890000000.0,1690000000.0,2570000000.0,104000000000.0,98400000000.0,113000000000.0
44,AMZN,11600000000.0,21300000000.0,33400000000.0,924000000000.0,1600000000000.0,75400000000.0
45,ANET,860000000.0,635000000.0,841000000.0,17700000000.0,23400000000.0,37400000000.0
46,ANSS,451000000.0,434000000.0,455000000.0,23600000000.0,29300000000.0,28200000000.0
47,AOD,,,,,,
48,AOS,370000000.0,345000000.0,487000000.0,7060000000.0,9390000000.0,10900000000.0
49,APA,-3520000000.0,-4900000000.0,1310000000.0,10100000000.0,5340000000.0,12400000000.0
50,APD,1760000000.0,1890000000.0,2100000000.0,46100000000.0,55100000000.0,52100000000.0
51,APH,1160000000.0,1200000000.0,1590000000.0,30300000000.0,36600000000.0,47500000000.0
52,APTV,990000000.0,1800000000.0,31000000.0,22500000000.0,35200000000.0,36900000000.0
53,AR,-340000000.0,-1260000000.0,-154000000.0,536000000.0,1480000000.0,5390000000.0
54,ARE,363000000.0,771000000.0,571000000.0,18500000000.0,20500000000.0,28500000000.0
55,ARMK,449000000.0,-462000000.0,-90800000.0,11100000000.0,9070000000.0,9170000000.0
56,ARW,-204000000.0,584000000.0,1110000000.0,6570000000.0,7820000000.0,8830000000.0
57,ASG,,,,,,
58,ASH,505000000.0,-508000000.0,220000000.0,4690000000.0,5000000000.0,5460000000.0
59,ATO,511000000.0,601000000.0,666000000.0,13200000000.0,9950000000.0,14100000000.0
60,ATVI,1500000000.0,2200000000.0,2700000000.0,46700000000.0,71200000000.0,51700000000.0
61,AVB,786000000.0,828000000.0,1000000000.0,30400000000.0,23700000000.0,33000000000.0
62,AVGO,2720000000.0,2960000000.0,6740000000.0,121000000000.0,176000000000.0,240000000000.0
63,AVK,,,,,,
64,AVT,176000000.0,-31100000.0,193000000.0,5070000000.0,3420000000.0,3970000000.0
65,AVY,304000000.0,,556000000.0,10700000000.0,,17000000000.0
66,AWK,621000000.0,709000000.0,645000000.0,24800000000.0,27200000000.0,34100000000.0
67,AWP,,,,,,
68,AXP,6760000000.0,3140000000.0,8060000000.000001,110000000000.0,107000000000.0,153000000000.0
69,AXS,323000000.0,-120000000.0,619000000.0,5520000000.0,3870000000.0,4490000000.0
70,AXTA,249000000.0,122000000.0,264000000.0,6680000000.0,6350000000.0,6840000000.0
71,AYI,330000000.0,248000000.0,306000000.0,5350000000.0,4810000000.0,6600000000.0
72,AZO,1620000000.0,1730000000.0,2170000000.0,27100000000.0,27900000000.0,46600000000.0
73,BA,-636000000.0,-11900000000.0,-4200000000.0,326000000000.0,122000000000.0,118000000000.0
74,BAC,27400000000.0,17900000000.0,32000000000.0,314000000000.0,252000000000.0,388000000000.0
75,BAH,419000000.0,483000000.0,609000000.0,8410000000.0,10300000000.0,10300000000.0
76,BALL,,,,,,
77,BAM,615000000.0,-134000000.0,12400000000.0,70500000000.0,58700000000.0,83000000000.0
78,BAP,4269999999.9999995,347000000.0,3670000000.0,16700000000.0,11900000000.0,9700000000.0
79,BAX,1000000000.0,1100000000.0,1280000000.0,46100000000.0,40000000000.0,42800000000.0
80,BBWI,,,,,,
81,BBY,1460000000.0,1540000000.0,1800000000.0,18900000000.0,21300000000.0,26200000000.0
82,BCE,3190000000.0,2630000000.0,2890000000.0,42900000000.0,38300000000.0,46200000000.0
83,BCV,,,,,,
84,BDJ,,,,,,
