Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
A,0.3,8.6,0.3
AA,14.3,5.9,14.3
AAL,11.5,12.3,11.5
AAP,0.1,8.3,0.1
AAPL,0.6,6.9,0.6
ABBV,1.1,16.8,1.1
ABC,1.3,5.6,1.3
ABT,3.0,13.6,3.0
ACGL,1.5,7.3,1.5
ACM,6.9,13.0,6.9
ACN,0.3,4.6,0.3
ADBE,1.9,5.9,1.9
ADI,10.1,7.7,10.1
ADM,18.2,13.2,18.2
ADP,1.1,7.0,1.1
ADSK,3.4,8.2,3.4
ADX,3.6,10.2,3.6
AEE,14.0,10.0,14.0
AEF,5.0,9.0,5.0
AEM,9.0,9.0,9.0
AEP,13.0,8.0,13.0
AER,6.0,8.0,6.0
AES,16.0,11.0,16.0
AFG,3.0,10.0,3.0
AFL,0.0,7.0,0.0
AGD,5.0,10.0,5.0
AGNC,7.0,3.0,7.0
AIG,2.0,10.0,2.0
AIV,7.0,5.0,7.0
AIZ,2.0,12.0,2.0
AJG,0.0,11.0,0.0
AKAM,3.0,7.0,3.0
ALB,16.0,6.0,16.0
ALKS,2.0,16.0,2.0
ALL,1.0,8.0,1.0
ALLE,13.0,5.0,13.0
ALLY,0.0,11.0,0.0
ALV,5.0,5.0,5.0
AMAT,4.0,3.0,4.0
AME,9.0,9.0,9.0
AMG,1.0,8.0,1.0
AMGN,1.0,13.0,1.0
AMP,3.0,7.0,3.0
AMT,2.0,4.0,2.0
AMZN,6.0,15.0,6.0
ANET,0.0,9.0,0.0
ANSS,1.0,7.0,1.0
AOD,5.0,10.0,5.0
AOS,7.0,12.0,7.0
APA,22.0,9.0,22.0
APD,6.0,1.0,6.0
APH,8.0,5.0,8.0
APTV,2.0,4.0,2.0
AR,0.0,0.0,0.0
ARE,4.0,4.0,4.0
ARMK,7.0,15.0,7.0
ARW,3.0,3.0,3.0
ASG,3.0,8.0,3.0
ASH,19.0,8.0,19.0
ATO,15.0,13.0,15.0
ATVI,0.0,12.0,0.0
AVB,3.0,3.0,3.0
AVGO,9.0,7.0,9.0
AVK,4.0,8.0,4.0
AVT,2.0,3.0,2.0
AVY,11.0,1.0,11.0
AWK,9.0,8.0,9.0
AWP,4.0,4.0,4.0
AXP,0.0,8.0,0.0
AXS,2.0,11.0,2.0
AXTA,14.0,7.0,14.0
AYI,7.0,9.0,7.0
AZO,0.0,7.0,0.0
BA,7.0,20.0,7.0
BAC,2.0,14.0,2.0
BAH,1.0,9.0,1.0
BALL,6.0,1.0,6.0
BAM,0.0,9.0,0.0
BAP,3.0,10.0,3.0
BAX,3.0,14.0,3.0
BBWI,3.0,8.0,3.0
BBY,2.0,7.0,2.0
BCE,3.0,10.0,3.0
BCV,0.0,0.0,0.0
BDJ,5.0,11.0,5.0
BDX,4.0,16.0,4.0
BEN,1.0,10.0,1.0
BEP,2.0,9.0,2.0
BFH,1.0,12.0,1.0
BG,15.0,14.0,15.0
BGR,16.0,10.0,16.0
BGY,4.0,10.0,4.0
BHC,5.0,18.0,5.0
BIDU,3.0,13.0,3.0
BIIB,0.0,13.0,0.0
BIO,1.0,8.0,1.0
BK,1.0,9.0,1.0
BKNG,2.0,12.0,2.0
BLK,1.0,10.0,1.0
BME,2.0,14.0,2.0
BMO,2.0,7.0,2.0
BMRN,1.0,17.0,1.0
BMY,0.0,15.0,0.0
BNS,1.0,10.0,1.0
BOE,4.0,10.0,4.0
BOKF,2.0,9.0,2.0
BPYPP,6.0,9.0,6.0
BR,1.0,9.0,1.0
BRO,0.0,11.0,0.0
BRX,4.0,3.0,4.0
BST,2.0,9.0,2.0
BSX,3.0,13.0,3.0
BTO,0.0,0.0,0.0
BWA,3.0,4.0,3.0
BX,3.0,10.0,3.0
BXMX,4.0,10.0,4.0
BXP,3.0,5.0,3.0
C,2.0,13.0,2.0
CAF,4.0,12.0,4.0
CAG,11.0,16.0,11.0
CAH,2.0,6.0,2.0
CAT,7.0,19.0,7.0
CB,2.0,12.0,2.0
CBOE,3.0,8.0,3.0
CBRE,1.0,2.0,1.0
CBSH,2.0,9.0,2.0
CCD,4.0,9.0,4.0
CCI,5.0,3.0,5.0
CCK,6.0,1.0,6.0
CCL,10.0,10.0,10.0
CDNS,1.0,6.0,1.0
CDW,2.0,3.0,2.0
CE,15.0,8.0,15.0
CEE,10.0,9.0,10.0
CERS,4.0,10.0,4.0
CET,3.0,9.0,3.0
CF,17.0,8.0,17.0
CFG,2.0,10.0,2.0
CFR,2.0,13.0,2.0
CGO,5.0,10.0,5.0
CHD,7.0,7.0,7.0
CHI,4.0,9.0,4.0
CHK,22.0,11.0,22.0
CHKP,5.0,12.0,5.0
CHN,4.0,10.0,4.0
CHRW,5.0,9.0,5.0
CHTR,6.0,13.0,6.0
CHW,5.0,10.0,5.0
CHY,4.0,9.0,4.0
CI,0.0,6.0,0.0
CII,4.0,11.0,4.0
CINF,2.0,11.0,2.0
CL,6.0,9.0,6.0
CLM,3.0,10.0,3.0
CLX,6.0,9.0,6.0
CM,2.0,8.0,2.0
CMA,2.0,11.0,2.0
CMCSA,5.0,12.0,5.0
CME,2.0,6.0,2.0
CMG,6.0,13.0,6.0
CMI,6.0,8.0,6.0
CMS,10.0,6.0,10.0
CNA,2.0,12.0,2.0
CNC,0.0,13.0,0.0
CNHI,5.0,5.0,5.0
